sympy-1.0 | p60=8 | p80=14 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.1 | p60=8 | p80=12 | p90=17 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.1.1 | p60=8 | p80=12 | p90=17 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.10 | p60=8 | p80=13 | p90=21 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.10.1 | p60=8 | p80=13 | p90=21 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.11 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.11.1 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.12 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.12.1 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.13.0 | p60=8 | p80=13 | p90=21 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.13.1 | p60=8 | p80=13 | p90=21 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.13.2 | p60=8 | p80=13 | p90=21 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.13.3 | p60=8 | p80=13 | p90=21 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.2 | p60=8 | p80=13 | p90=18 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.3 | p60=8 | p80=13 | p90=18 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.4 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.5 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.5.1 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.6 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.6.1 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.6.2 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.7 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.7.1 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.8 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
sympy-1.9 | p60=8 | p80=13 | p90=20 | thr=1000 | moved=0 | min=0 | avg=0.00
